Date,Cases - Total,Deaths - Total,Hospitalizations - Total,Cases - Age 0-17,Cases - Age 18-29,Cases - Age 30-39,Cases - Age 40-49,Cases - Age 50-59,Cases - Age 60-69,Cases - Age 70-79,Cases -  Age 80+,Cases - Age Unknown,Cases - Female,Cases - Male,Cases - Unknown Gender,Cases - Latinx,Cases - Asian Non-Latinx,Cases - Black Non-Latinx,Cases - White Non-Latinx,Cases - Other Race Non-Latinx,Cases - Unknown Race/Ethnicity,Deaths - Age 0-17,Deaths - Age 18-29,Deaths - Age 30-39,Deaths - Age 40-49,Deaths - Age 50-59,Deaths - Age 60-69,Deaths - Age 70-79,Deaths - Age 80+,Deaths - Age Unknown,Deaths - Female,Deaths - Male,Deaths - Unknown Gender,Deaths - Latinx,Deaths - Asian Non-Latinx,Deaths - Black Non-Latinx,Deaths - White Non-Latinx,Deaths - Other Race Non-Latinx,Deaths - Unknown Race/Ethnicity,Hospitalizations - Age 0-17,Hospitalizations - Age 18-29,Hospitalizations - Age 30-39,Hospitalizations - Age 40-49,Hospitalizations - Age 50-59,Hospitalizations - Age 60-69,Hospitalizations - Age 70-79,Hospitalizations - Age 80+,Hospitalizations - Age Unknown,Hospitalizations - Female,Hospitalizations - Male,Hospitalizations - Unknown Gender,Hospitalizations - Latinx,Hospitalizations - Asian Non-Latinx,Hospitalizations - Black Non-Latinx,Hospitalizations - White Non-Latinx,Hospitalizations - Other Race Non-Latinx,Hospitalizations - Unknown Race/Ethnicity
09/08/2020,369,1,21,36,120,80,55,40,23,10,5,0,181,188,0,192,11,45,98,5,18,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,2,0,4,2,4,4,4,0,7,14,0,11,0,5,4,0,1
06/19/2021,30,2,4,6,11,5,1,2,1,4,0,0,18,12,0,11,2,6,7,2,2,0,0,0,1,1,0,0,0,0,1,1,0,1,0,0,1,0,0,0,3,0,0,0,0,1,0,0,4,0,0,4,0,0,0,0,0
06/04/2020,319,15,31,27,91,63,54,40,26,10,8,0,160,158,1,173,7,76,31,6,26,0,0,2,1,0,6,4,2,0,6,9,0,6,1,8,0,0,0,0,5,1,6,5,10,3,1,0,17,14,0,13,1,10,6,0,1
03/02/2022,153,3,10,46,32,26,21,16,5,3,4,0,83,69,1,22,8,20,58,13,32,0,0,0,0,0,0,0,3,0,1,2,0,1,0,1,1,0,0,0,3,0,0,0,2,3,2,0,3,7,0,3,0,1,6,0,0
09/17/2020,391,0,25,38,122,88,53,40,30,11,9,0,189,202,0,156,14,53,131,12,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,4,6,6,1,2,0,9,16,0,8,1,5,9,1,1
11/10/2020,3353,14,141,397,816,690,546,436,287,126,55,0,1720,1626,7,1400,106,575,818,137,317,0,0,0,1,0,1,7,5,0,10,4,0,3,0,8,3,0,0,0,4,12,15,24,33,32,21,0,61,80,0,48,2,53,30,6,2
05/24/2021,216,4,32,38,49,41,33,25,16,10,4,0,111,105,0,47,7,96,32,9,25,0,0,1,2,1,0,0,0,0,2,2,0,2,0,2,0,0,0,1,5,1,4,6,7,6,2,0,18,14,0,6,2,20,4,0,0
07/06/2022,1057,2,42,115,226,234,167,122,102,56,35,0,615,436,6,245,77,249,277,41,168,0,0,0,0,0,0,0,2,0,1,1,0,1,0,0,1,0,0,2,6,3,4,4,7,6,10,0,15,26,1,8,3,17,9,1,4
08/01/2022,955,3,46,130,177,165,146,126,110,71,30,0,563,389,3,232,45,265,230,37,146,0,0,0,0,0,1,1,1,0,1,2,0,1,0,0,2,0,0,2,3,3,6,4,12,9,7,0,22,24,0,13,0,18,13,2,0
07/07/2021,74,2,7,17,19,16,13,4,3,2,0,0,50,23,1,18,3,19,18,3,13,0,0,0,1,0,0,0,1,0,1,1,0,2,0,0,0,0,0,0,0,1,1,0,1,2,2,0,5,2,0,0,0,3,3,1,0
09/04/2021,343,5,34,69,71,73,51,35,34,7,3,0,186,156,1,58,13,109,94,17,52,0,0,1,0,0,1,2,1,0,0,5,0,2,0,2,1,0,0,0,4,5,3,10,8,2,2,0,26,8,0,8,0,18,7,1,0
10/13/2021,361,4,24,83,87,65,47,34,30,9,6,0,184,177,0,54,23,88,133,29,34,0,0,1,0,1,1,0,1,0,3,1,0,1,0,3,0,0,0,1,3,7,3,3,3,3,1,0,20,4,0,5,1,13,4,1,0
11/16/2021,742,6,41,187,142,153,102,64,38,29,27,0,376,363,3,139,20,153,230,61,139,0,0,2,0,0,2,0,2,0,2,4,0,0,0,6,0,0,0,1,1,2,5,11,5,11,5,0,13,28,0,12,0,17,10,2,0
07/29/2022,826,0,38,129,155,145,114,110,85,56,32,0,473,349,4,206,42,243,187,50,98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,8,4,5,5,6,5,4,0,22,16,0,10,0,18,7,2,1
05/27/2022,1062,2,28,213,220,220,145,125,74,43,22,0,608,452,2,213,79,211,320,51,188,0,0,0,0,1,0,0,1,0,0,2,0,0,0,0,2,0,0,1,1,4,3,4,6,3,6,0,15,13,0,4,1,13,10,0,0
02/28/2022,198,0,14,54,42,38,23,23,7,8,3,0,107,90,1,41,13,30,67,13,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,1,2,3,2,0,6,8,0,3,0,5,6,0,0
07/20/2020,394,5,26,53,95,90,55,47,36,14,4,0,198,192,4,176,10,97,76,11,24,0,0,1,1,0,2,1,0,0,2,3,0,3,0,1,1,0,0,1,2,3,3,4,7,5,1,0,18,8,0,9,0,15,2,0,0
02/28/2021,149,4,19,16,34,34,22,17,19,5,2,0,68,80,1,32,14,30,52,5,16,0,0,0,0,0,1,2,1,0,1,3,0,1,0,3,0,0,0,0,1,4,0,0,10,1,3,0,11,8,0,3,1,9,5,0,1
04/05/2022,533,1,15,124,139,120,69,43,23,13,2,0,285,244,4,84,36,64,239,30,80,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,2,3,0,6,0,3,0,12,3,0,2,0,9,4,0,0
06/05/2020,337,17,42,33,75,70,50,51,30,18,10,0,172,165,0,199,5,57,37,10,29,0,0,0,0,3,1,9,4,0,10,7,0,5,0,7,5,0,0,0,6,5,5,8,6,9,3,0,20,22,0,18,0,15,4,2,3
03/30/2020,439,12,158,6,54,78,81,82,59,43,36,0,217,222,0,93,12,216,82,15,21,0,0,1,1,2,2,5,1,0,4,8,0,3,1,6,2,0,0,0,9,9,17,32,35,32,24,0,68,90,0,27,2,101,20,7,1
09/15/2021,519,4,16,118,124,109,64,49,39,10,6,0,277,242,0,107,19,157,153,37,46,0,1,0,0,0,1,0,2,0,3,1,0,1,0,2,1,0,0,0,2,2,2,3,5,1,1,0,9,7,0,2,0,7,7,0,0
07/02/2022,547,0,29,79,108,94,83,71,50,43,19,0,333,212,2,120,38,129,163,24,73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,3,7,6,4,5,0,16,13,0,3,1,15,9,0,1
12/09/2021,1300,8,77,283,324,287,172,135,61,26,12,0,652,646,2,218,37,342,331,109,263,0,0,1,0,1,3,2,1,0,6,2,0,0,0,7,1,0,0,2,8,11,5,16,14,15,6,0,38,39,0,17,1,30,26,2,1
09/19/2020,170,2,19,11,49,41,23,24,16,2,4,0,89,81,0,67,4,21,53,12,13,0,0,0,0,0,0,0,2,0,1,1,0,0,0,1,1,0,0,2,1,1,1,4,4,3,3,0,12,7,0,9,0,7,2,1,0
07/26/2021,326,2,25,61,91,77,34,33,19,6,5,0,178,148,0,52,10,94,99,14,57,0,0,0,0,0,0,1,1,0,2,0,0,1,0,1,0,0,0,1,6,2,5,3,1,3,4,0,12,13,0,6,0,16,2,0,1
06/01/2020,233,21,63,21,50,35,32,35,17,17,26,0,137,96,0,96,8,57,47,7,18,0,0,0,1,2,4,4,10,0,12,9,0,6,1,10,4,0,0,2,3,11,7,9,7,11,13,0,28,35,0,19,1,29,13,0,1
09/21/2021,468,6,33,119,98,82,65,48,30,18,8,0,247,220,1,92,14,144,142,26,50,0,0,0,1,1,1,1,2,0,0,6,0,0,0,4,2,0,0,0,3,2,6,4,9,4,5,0,16,17,0,7,0,21,5,0,0
10/11/2021,320,4,20,72,65,64,39,40,21,15,4,0,181,139,0,46,9,74,127,27,37,0,1,0,0,1,0,1,1,0,1,3,0,0,0,3,1,0,0,0,0,3,0,7,6,2,2,0,14,6,0,5,1,8,6,0,0
05/26/2022,1240,1,33,247,272,257,149,148,85,51,31,0,687,549,4,275,91,259,338,63,214,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,3,2,4,3,6,7,7,0,17,16,0,7,2,12,9,3,0
